ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
エーゲ海,15,03-5951-1686,"2,590","2,590","5,500","6,500","6,500",-,-,東京都豊島区池袋2-11-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7300698779954!2d139.7053432143748!3d35.732856534748095!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ec3baaaab%3A0x68793738922fad3c!2z44Ob44OG44Or44Ko44O844Ky5rW3!5e0!3m2!1sja!2sjp!4v1502544226625"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
タカラ,16,03-3984-9711,"2,600","3,600","4,000","5,000","5,000",-,-,東京都豊島区東池袋1-23-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.875637628184!2d139.71424695432535!3d35.72927692543381!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d68ba1bc6b5%3A0x38adab5db83b8b38!2z44CSMTcwLTAwMTMg5p2x5Lqs6YO96LGK5bO25Yy65p2x5rGg6KKL77yR5LiB55uu77yS77yT4oiS77yZ!5e0!3m2!1sja!2sjp!4v1502545060973"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
クイーン,17,03-5953-3551,"2,700","2,700","5,000","6,000","6,000","4,500","2,400",東京都豊島区池袋1-4-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.659550803871!2d139.71063851437495!3d35.73459053465275!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60bfff4359%3A0x6a378ebc7e391d2b!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yR5LiB55uu77yU4oiS77yW!5e0!3m2!1sja!2sjp!4v1502544462928"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ニューメルヘン,18,03-3988-1745,"2,700","2,700","5,000","5,000","5,000","2,700",-,東京都豊島区池袋1-4-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6741225488936!2d139.71066631437498!3d35.734232234672476!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60b8864f7b%3A0xb2873a9cfe784541!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yR5LiB55uu77yU4oiS77yT!5e0!3m2!1sja!2sjp!4v1502545259240"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ミント池袋,19,03-5952-0770,"2,800","4,500","5,800","5,800","5,800","3,800",-,東京都豊島区池袋1-3-13,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.673570697943!2d139.71049451417105!3d35.734245804015835!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6094641d57%3A0x677689790c32df1d!2z44Ob44OG44Or44Of44Oz44OI5rGg6KKL5bqX!5e0!3m2!1sja!2sjp!4v1502543233691"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
サンマルコ,20,03-3987-8491,"2,980","2,980","5,000","5,500","5,500",-,-,東京都豊島区西池袋3-24-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.838368222918!2d139.7050086143748!3d35.73019343489428!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5c125949d1%3A0x65db7ca356377d2!2z44CSMTcxLTAwMjEg5p2x5Lqs6YO96LGK5bO25Yy66KW_5rGg6KKL77yT5LiB55uu77yS77yU4oiS77yR!5e0!3m2!1sja!2sjp!4v1502544511775"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ムーンパテオ,21,03-5396-0331,"2,980","3,700","7,000","8,000",-,-,-,東京都豊島区池袋2-42-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.704176627188!2d139.70755551437483!3d35.73349323471304!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e42e1faff%3A0x637572e7437c13f4!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yU77yS4oiS77yT!5e0!3m2!1sja!2sjp!4v1502545442612"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ナポリ,22,03-3590-3661,"2,990","2,990","5,000","6,000","6,000",-,-,東京都豊島区東池袋1-12-16,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.884770362761!2d139.7127135143747!3d35.72905233495697!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6890609345%3A0x646978a2d3d8323f!2z44CSMTcwLTAwMTMg5p2x5Lqs6YO96LGK5bO25Yy65p2x5rGg6KKL77yR5LiB55uu77yR77yS4oiS77yR77yW!5e0!3m2!1sja!2sjp!4v1502545226124"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
メープル,23,03-5911-3122,"2,990","3,990","6,000","7,000","7,000",-,-,東京都豊島区池袋2-11-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7291426568213!2d139.7053113143748!3d35.73287933474682!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ec30a9f43%3A0x28453177bae1a4a3!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yR4oiS77yR77yQ!5e0!3m2!1sja!2sjp!4v1502545477695"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL Q,24,03-5951-6802,"3,000","3,500","6,300","8,900","8,900","3,900",-,東京都豊島区池袋2-12-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7424815787363!2d139.70484431437487!3d35.732551334764835!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d592b15c07b%3A0xebe51598164525cb!2z44Ob44OG44Or77yx!5e0!3m2!1sja!2sjp!4v1502543827737"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
kocona,25,03-3971-1191,"3,000","4,000","7,600","8,600","7,600","4,200",-,東京都豊島区池袋2-63-8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.630976313788!2d139.70854141437493!3d35.73529313461431!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5fcefae439%3A0xe0e8896f3cbdd7f3!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yW77yT4oiS77yY!5e0!3m2!1sja!2sjp!4v1502543106347"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
RAFAIE,26,03-5992-2100,"3,020","3,020","5,400","7,560","5,400","4,100",-,東京都豊島区池袋2-16-19,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.732648200853!2d139.70446691437493!3d35.73279313475149!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ed24ffb51%3A0xa77730d2fddc092a!2z44Ob44OG44OrIOODqeODleOCoeOCpOOCqA!5e0!3m2!1sja!2sjp!4v1502543503048"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
カサブランカ 池袋,27,03-3985-8641,"3,140","4,220","6,480","9,720","6,480","4,220",-,東京都豊島区池袋1-3-14,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.657330258896!2d139.71033001437482!3d35.73464513464987!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60942a320b%3A0x761505789e0e1ae4!2z44Op44OW44Ob44OG44OrIOaxoOiiiyDjgqvjgrXjg5bjg6njg7Pjgqs!5e0!3m2!1sja!2sjp!4v1502542578311"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ブルーシャトー西口店,28,03-3986-0671,"3,150","3,150","5,250","5,250","5,250","3,150",-,東京都豊島区池袋2-56-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6524458629965!2d139.70590561437496!3d35.73476523464331!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5f13f2259d%3A0x6a63e40ea65a6d70!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yV77yW4oiS77yX!5e0!3m2!1sja!2sjp!4v1502545372097"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL SARD,29,03-5957-3388,"3,200","3,200","6,800","8,800","8,800","5,000",-,東京都豊島区池袋1-4-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6647645993576!2d139.71072231437483!3d35.73446233466!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60c08a929d%3A0xc62d79c048821849!2z44Ob44OG44OrIOOCteODvOODiQ!5e0!3m2!1sja!2sjp!4v1502543844394"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
LIXIA,30,03-5960-6882,"3,200","4,200","8,000","10,300","8,000","5,000",-,東京都豊島区池袋1-3-17,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.670165456226!2d139.71039011437497!3d35.734329534667154!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60be8eaaab%3A0xf580088f04159540!2z44Ob44OG44Or77ys77yp77y477yp77yh!5e0!3m2!1sja!2sjp!4v1502543141474"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
エリアス池袋,31,03-3980-2230,"3,200","4,200","7,600","9,300","7,600","5,000",-,東京都豊島区池袋1-4-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.673260367113!2d139.710626914375!3d35.73425343467136!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60bf850cff%3A0xd233c72d7336daef!2zSE9URUwgQVJFQVMg5rGg6KKLQemkqA!5e0!3m2!1sja!2sjp!4v1502542799321"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
キング,32,03-3984-7861,"3,200","3,300","6,800","7,800","6,800",-,-,東京都豊島区池袋1-3-20,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6692605698986!2d139.71029456437492!3d35.73435178466597!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60bddadcc7%3A0x6ab1a81f2bd9a35b!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yR5LiB55uu77yT!5e0!3m2!1sja!2sjp!4v1502543606205"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL SPERANZA,33,03-3988-7770,"3,240",-,"7,560",-,-,"4,320",-,東京都豊島区池袋1-3-15,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6614297242377!2d139.71041631437492!3d35.73454433465537!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6095e95555%3A0xdd0697a66a5a9ce7!2z44Ob44OG44Or44K544Oa44Op44Oz44K2!5e0!3m2!1sja!2sjp!4v1502545014847"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ガーベラ,34,03-5952-3666,"3,400","3,400","7,000","7,000","7,000",-,-,東京都豊島区池袋2-12-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7424734452807!2d139.7048447143749!3d35.73255153476481!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ec8b34ddf%3A0xc8b1a902bf434170!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yS4oiS77yR77yQ!5e0!3m2!1sja!2sjp!4v1502544349606"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL MURASAKI,35,03-3986-8076,"3,500","3,500","5,500","5,500","5,500","3,500",-,東京都豊島区西池袋2-29-21,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.9572886698975!2d139.70633226437468!3d35.72726893505483!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5cd2ff8441%3A0x21aa0ea21bc367ca!2z44CSMTcxLTAwMjEg5p2x5Lqs6YO96LGK5bO25Yy66KW_5rGg6KKL77yS5LiB55uu77yS77yZ4oiS77yS77yRIOODm-ODhuODq-ODoOODqeOCteOCrQ!5e0!3m2!1sja!2sjp!4v1502543790082"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
MASHA,36,03-3985-1522,"3,500","3,900","7,200","9,300","7,200","5,000",-,東京都豊島区池袋2-16-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.72711334202!2d139.70417251437485!3d35.7329292347441!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d592b15ddaf%3A0x82047027dc1d19e2!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yW4oiS77yU!5e0!3m2!1sja!2sjp!4v1502543455247"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル スカイロード,37,03-3986-5491,"3,500","4,000","5,900","6,900","5,900","3,500","3,000",東京都豊島区池袋1-7-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6437100386806!2d139.71036201437485!3d35.73498003463147!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6091c08dd1%3A0xef8b108076c99b90!2z44Ob44OG44OrIOOCueOCq-OCpOODreODvOODiQ!5e0!3m2!1sja!2sjp!4v1502542786854"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ワールド,38,03-3980-1155,"3,500","3,500","6,700","7,500","7,500","3,800","4,500",東京都豊島区池袋1-4-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1925.7417034857267!2d139.71196420669344!3d35.73363059718374!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60b8715555%3A0xe9a2ce30b3524412!2z44Ob44OG44Or44Ov44O844Or44OJ!5e0!3m2!1sja!2sjp!4v1502545856573"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
JADE,39,03-3988-2189,"3,700",-,-,"8,000","8,900",-,-,東京都豊島区池袋2-5-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1619.3714494619105!2d139.7068389579226!3d35.73254107233562!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e94e87d55%3A0xf45cf126b9593763!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yV4oiS77yV!5e0!3m2!1sja!2sjp!4v1502544975879"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
シャッフル,40,03-3982-8071,"3,800","3,800","5,800","5,800","6,800","3,800","3,800",東京都豊島区池袋2-16-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.72711334202!2d139.70417251437485!3d35.7329292347441!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d592b15ddaf%3A0x82047027dc1d19e2!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yW4oiS77yU!5e0!3m2!1sja!2sjp!4v1502544537885"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル 艶,41,03-3988-3988,"3,800","3,800","6,800","8,500","6,800","3,800",-,東京都豊島区池袋2-12-12,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.742091172772!2d139.7052592143748!3d35.73256093476435!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ec720e74d%3A0xf0e1539e0174b44f!2z6Im2!5e0!3m2!1sja!2sjp!4v1502542771636"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
リフレイン,42,03-5950-2717,"3,800","3,800","5,800","5,800","6,800","3,800","3,000",東京都豊島区池袋2-16-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1145.0645520602613!2d139.70552846436775!3d35.732817959669845!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d592a1aaaab%3A0x924411514616109f!2z44Ob44OG44Or44Oq44OV44Os44Kk44Oz!5e0!3m2!1sja!2sjp!4v1502545635736"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
