ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
リビエラ,11,045-314-1899,"3,800","4,800","6,500","9,000","9,800","3,800",-,神奈川県横浜市西区北幸2-1-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.3639908384653!2d139.62893031436508!3d35.44578215045774!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cf5200bffff%3A0xbc84996c30be75ba!2z44O044Kj44Kv44OI44Oq44Ki44Kz44O844OI6Zai5YaF!5e0!3m2!1sja!2sjp!4v1502104792367"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
デザインホテル ミスト,12,045-671-1444,"3,900","5,600","4,800","5,800","10,000","3,900","2,900",神奈川県横浜市中区翁町1-3-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.3672740425964!2d139.6278373143651!3d35.44570085046221!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cf52cee2ca9%3A0xc64b9b529eaa2fac!2z44CSMjMxLTAwNDIg56We5aWI5bed55yM5qiq5rWc5biC5Lit5Yy656aP5a-M55S66KW_6YCa77yT77yW!5e0!3m2!1sja!2sjp!4v1502104824973"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
エスター,13,045-241-0313,"3,900","3,900","7,700","7,700","7,700",-,-,神奈川県横浜市中区野毛町2-71-12,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.5718495760434!2d139.6378452143649!3d35.44063475073848!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cef8795149f%3A0xcdb3d4c91c99ca3!2z44CSMjMxLTAwMjYg56We5aWI5bed55yM5qiq5rWc5biC5Lit5Yy65a-_55S677yR5LiB55uu77yT4oiS77yR77yR!5e0!3m2!1sja!2sjp!4v1502104856078"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL VIGADO,14,045-322-3444,"3,900","4,500","6,800","10,300","10,300","3,900",-,神奈川県横浜市西区南幸2-10-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.342639755989!2d139.62749991436502!3d35.446310850428944!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8aca740001%3A0x7597ee8fef16d6f0!2sDispaResort!5e0!3m2!1sja!2sjp!4v1502104873655"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL ZAFIRO,15,045-311-4775,"3,900","4,400","6,800","10,000","10,000","3,900",-,神奈川県横浜市西区南幸2-3-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.4335626743505!2d139.629201314365!3d35.44405935055171!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185cf499b9add1%3A0x33f13398955ff64a!2z44Ob44OG44Or44OV44Kh44OL44O844K6!5e0!3m2!1sja!2sjp!4v1502104891091"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL GOMAX,16,045-251-8680,"3,980","4,500","5,980","5,980","7,500","3,980","2,500",神奈川県横浜市中区末吉町1-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.5822793762622!2d139.63897571436476!3d35.44037645075253!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce59edcc375%3A0x32f784db652c394c!2zSE9URUwgTGEgTHVuZe-8u-ODm-ODhuODqyDjg6kg44Or44O844Oz77y9!5e0!3m2!1sja!2sjp!4v1502104907119"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
NUDA by H-SEVEN,17,045-241-1616,"4,000","4,700","5,800","6,800","9,500","4,500","3,500",神奈川県横浜市中区宮川町2-23-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.5231722635267!2d139.6467998143649!3d35.441840250672776!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce22264ec2b%3A0x4f7e33c8660ebc73!2z44Ob44OG44OrIEFLQUlLVVRTVSDotaTjgYTpnbQ!5e0!3m2!1sja!2sjp!4v1502104922073"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
三番館,18,045-641-2426,"4,000","4,000","7,800","7,800","7,800",-,"3,100",神奈川県横浜市中区松影町1-2-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.4807646920312!2d139.624953214365!3d35.44289045061549!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8b786ca555%3A0x4209d2299e042c2a!2z44Ob44OG44Or5qGD546E!5e0!3m2!1sja!2sjp!4v1502104943262"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル 二番館本館,19,045-311-0878,"4,000","4,000","7,800","7,800","7,800","4,000","3,100",神奈川県横浜市神奈川区鶴屋町2-9-15,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.469340869845!2d139.626293114365!3d35.44317335060006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8b69a0e697%3A0x6100c0c9cc7c89ec!2zQ2Vhbuaoqua1nOW6lw!5e0!3m2!1sja!2sjp!4v1502104962795"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ル・スタイル,20,045-312-3351,"4,090","4,090","6,190","6,190","6,190","3,990",-,神奈川県横浜市神奈川区鶴屋町2-9-27,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.5885420700793!2d139.63947531436486!3d35.44022135076111!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce5a33f90c5%3A0x4372437a66102f07!2z44Ob44OG44OrIOOCouOCpOODu-OCqOOCuQ!5e0!3m2!1sja!2sjp!4v1502104990124"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル AKAIKUTSU,21,045-664-6931,"4,100","5,180","7,020","7,020","10,260","4,750",-,神奈川県横浜市中区山下町105,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.626041015675!2d139.6229674143648!3d35.43929265081173!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8c2f4e5261%3A0xa3dfb81d0fba327e!2z44Ob44OG44Or44Ko44OD44Kv44K544Kk44Oz!5e0!3m2!1sja!2sjp!4v1502105023303"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ロイヤル,22,045-622-8917,"4,200","4,200","7,350","7,350","7,350",-,"2,900",神奈川県横浜市中区本牧町2-319,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1149.2646632729106!2d139.62776032902698!3d35.43965656293212!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc67e2c6767df54a1!2z44Ob44OG44OrIOODi-ODpeODvOODkeODvOOCrw!5e0!3m2!1sja!2sjp!4v1502105063801"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
プラージュ,23,045-311-3933,"4,200","4,200","7,350","7,350","7,350","4,200","2,900",神奈川県横浜市神奈川区鶴屋町2-27-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.3637969959423!2d139.627470714365!3d35.44578695045767!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c8acdeddab7%3A0xe2536a71a3c13cc7!2z44CSMjMxLTAwNDIg56We5aWI5bed55yM5qiq5rWc5biC5Lit5Yy656aP5a-M55S66KW_6YCa77yU77yW!5e0!3m2!1sja!2sjp!4v1502105088415"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
マイアミ,24,045-314-3508,"4,200","4,700","7,200","8,200","8,200","4,200",-,神奈川県横浜市西区北幸町2-3-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.249026106913!2d139.62812811436515!3d35.4486288503025!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c5fe4024d71%3A0xbe97aa41c06d6335!2z44Ob44OG44Or44Ko44K544K_44O8!5e0!3m2!1sja!2sjp!4v1502105115603"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル ヴィクトリアコート関内,25,045-253-7778,"4,400","5,400","6,900","7,900","9,900","4,900","2,980",神奈川県横浜市中区福富町西通4-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.588734691488!2d139.6394810800742!3d35.44021658034787!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185ce5a352add1%3A0xc5abe86a0823bb52!2z44CSMjMxLTAwMjUg56We5aWI5bed55yM5qiq5rWc5biC5Lit5Yy65p2-5b2x55S677yR5LiB55uu77yS4oiS77yV!5e0!3m2!1sja!2sjp!4v1504350662294"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ドルチェ,26,045-243-3366,"4,500","5,000","6,000","7,000","8,500","4,500","3,500",神奈川県横浜市中区福富町西通36,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3250.963872563547!2d139.6596578143645!3d35.430924951267876!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185d30380e6861%3A0x72f8b44712360c!2z44CSMjMxLTA4MDYg56We5aWI5bed55yM5qiq5rWc5biC5Lit5Yy65pys54mn55S677yS5LiB55uu77yT77yR77yZ!5e0!3m2!1sja!2sjp!4v1502105236925"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
セアン横浜,27,045-261-1500,"4,500","4,500","7,800","7,800","7,800","4,500","3,000",神奈川県横浜市中区末吉町1-6-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3248.9169232694867!2d139.5933403143663!3d35.48159924850366!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185944f3256ea3%3A0x88526741bdd9032e!2z44CSMjIxLTA4NjMg56We5aWI5bed55yM5qiq5rWc5biC56We5aWI5bed5Yy657695rKi55S677yV77yZ4oiS77yR!5e0!3m2!1sja!2sjp!4v1502105386594"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ニューパーク,28,045-241-1188,"4,500","4,500","7,300","8,800","7,300","4,500",-,神奈川県横浜市中区弥生町3-29,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3248.8409291753364!2d139.59604231436637!3d35.48347934840101!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x601859459911cf95%3A0xf94a8d84d20d277a!2z44Ob44OG44Or44K144Oz44Ot44K8!5e0!3m2!1sja!2sjp!4v1502105415100"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
EXECUTIVE HOTEL GRAND GARDEN,29,045-222-0444,"4,530","5,380","7,540","8,620","10,780","4,530","4,300",神奈川県横浜市中区寿町1-1-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.3990188415974!2d139.6188262143659!3d35.46967014915466!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c1049da841f%3A0xfd4928b3a6e94c18!2z44CSMjIxLTA4MzUg56We5aWI5bed55yM5qiq5rWc5biC56We5aWI5bed5Yy66ba05bGL55S677yS5LiB55uu77yZ4oiS77yT77yR!5e0!3m2!1sja!2sjp!4v1502105447088"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
AROMA BOWERY,30,045-252-1500,"4,590","4,590","8,190","9,100","10,800","4,590",-,神奈川県横浜市中区富士見町2-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.676570790086!2d139.61529971436553!3d35.4628007495294!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0d039c5089%3A0xdbf0b161aeede6a0!2z44OT44Ks44OJ77yI77y277yp77yn77yh77yk77yv77yJ!5e0!3m2!1sja!2sjp!4v1502105468214"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル ファニーズ,31,045-261-2244,"4,600","4,600","7,500","7,500","7,500","4,600","2,900",神奈川県横浜市中区伊勢佐木町2-10-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.6920199467418!2d139.61588531436567!3d35.46241834955034!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0d1612999d%3A0xcd72838d7661aa60!2z44Ob44OG44Or44K144OV44Kj44Ot44Oo44Kz44OP44Oe!5e0!3m2!1sja!2sjp!4v1502105484014"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL LA LUNE,32,045-681-0351,"4,640","4,640","8,420","8,420","8,420","4,640",-,神奈川県横浜市中区寿町1-1-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.3986834592874!2d139.61853731436585!3d35.46967844915416!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c1037414dd9%3A0x24df71fe98f0b90f!2z44CSMjIxLTA4MzUg56We5aWI5bed55yM5qiq5rWc5biC56We5aWI5bed5Yy66ba05bGL55S677yS5LiB55uu77yS77yX!5e0!3m2!1sja!2sjp!4v1502105515264"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル 桃玄,33,045-251-2510,"4,750","5,500","8,420","9,610","10,800","4,750",-,神奈川県横浜市中区末吉町1-13,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.5357077207545!2d139.61517111436578!3d35.46628724933923!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0e63b9d943%3A0x7321b9a5495fb33!2z44CSMjIwLTAwMDQg56We5aWI5bed55yM5qiq5rWc5biC6KW_5Yy65YyX5bm477yS5LiB55uu77yS4oiS77yR77yQ!5e0!3m2!1sja!2sjp!4v1502105551090"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
スターゲート,34,045-325-7755,"4,900","5,900","7,900","7,900","12,900","4,900","3,500",神奈川県横浜市中区若葉町1-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2732.5238457114106!2d139.61596168703227!3d35.46626023444039!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0e67b58dab%3A0x74f95789709a5a4d!2z44Ko44Oz44K844Or!5e0!3m2!1sja!2sjp!4v1502105589412"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
サンマリーン,35,045-641-1471,"4,900","5,900","7,900","7,900","9,900","4,900","3,900",神奈川県横浜市中区山下町61,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.679010990771!2d139.61554331436565!3d35.46274034953279!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0d1ad43f61%3A0x64ca96d47187814d!2z44Ob44OG44Or44OZ44Or44K_!5e0!3m2!1sja!2sjp!4v1502105609147"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
IN THE MOON,36,045-383-1511,"4,900","5,900","7,300","8,300","9,300","4,900","3,900",神奈川県横浜市神奈川区羽沢町59-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.5412713634837!2d139.61528911436577!3d35.46614954934675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0e64aabe0d%3A0xf139eebd2911115f!2z44Ob44OG44Or44K144Op44K1!5e0!3m2!1sja!2sjp!4v1502105634061"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
フェアリーウィンク,37,045-243-2182,"4,960","5,610","7,450","9,390","10,580","4,960","3,130",神奈川県横浜市中区野毛町1-58,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.5284551590225!2d139.61473101436573!3d35.46646674932948!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0e8b4a096f%3A0xdc1d1b681607f009!2z44CSMjIwLTAwMDQg56We5aWI5bed55yM5qiq5rWc5biC6KW_5Yy65YyX5bm477yS5LiB55uu77yT!5e0!3m2!1sja!2sjp!4v1502105662093"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL Belta,38,045-323-1132,"5,000","5,300","8,000","11,000","11,000","5,000",-,神奈川県横浜市西区南幸2-4-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d966.0931166203679!2d139.61729553264988!3d35.46625639733699!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x12600e74bb0d7136!2z44Ob44OG44OrIOODquODk-OCqOODqQ!5e0!3m2!1sja!2sjp!4v1502105751440"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
Dispa Resort,39,045-242-1601,"5,190","6,270","9,510","10,590","14,910","5,730","4,110",神奈川県横浜市中区宮川町1-12-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.145474602232!2d139.63453531436616!3d35.47594434881219!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c3b0edd14ad%3A0xcf09ce34471c12a7!2z44Ob44OG44Or44O744K244O744K544K_44Kk44Or!5e0!3m2!1sja!2sjp!4v1502105796179"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル LaSee,40,045-312-2161,"5,400","5,400","7,660","8,740","9,820","5,180","3,240",神奈川県横浜市神奈川区鶴屋町2-9-31,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.3939396106075!2d139.61941601436587!3d35.469795849147836!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c110222e7f3%3A0xda91b5e801d65f0e!2z44Ob44OG44Or5LqM55Wq6aSoIOaoqua1nA!5e0!3m2!1sja!2sjp!4v1502105813745"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル 八重洲,41,045-314-3939,"5,600","6,700","7,700","7,700","9,800","5,600",-,神奈川県横浜市西区北幸2-2-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.5240389595724!2d139.61549051436577!3d35.46657604932349!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0e663dee2d%3A0x3b003510cb2adec1!2z44CSMjIwLTAwMDQg56We5aWI5bed55yM5qiq5rWc5biC6KW_5Yy65YyX5bm477yS5LiB55uu77yU4oiS77yR!5e0!3m2!1sja!2sjp!4v1502105839804"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
THE STYLE,42,045-451-1950,"5,900","5,900","9,900","9,900","9,900","5,900","3,900",神奈川県横浜市神奈川区東神奈川2-49-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3249.531190530065!2d139.61498401436575!3d35.46639904933309!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60185c0e8a657e79%3A0xe94b7e479731be96!2z44Ob44OG44OrIEFRVUEgWU9LT0hBTUE!5e0!3m2!1sja!2sjp!4v1502105855076"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル サラサ,43,045-312-5511,"6,000","7,000","9,000","10,000","10,000","6,000",-,神奈川県横浜市西区北幸2-2-12,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d483.0252523883442!2d139.62145258562904!3d35.469803618164306!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x79f52176ab9965b3!2z44Ob44OG44Or5LqM55Wq6aSo5Yil6aSo!5e0!3m2!1sja!2sjp!4v1502105887973"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
